"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"889","Jeff Skinner","CAR","L","190","3231.9333333333","64","45","32","13","109","69.43","668","9.58","68.37","1211","915","635","259","42","97","66","33","33","0","0","77","102","147","90","219","31","65","76","46.10"
"697","Gustav Nyquist","DET","R","161","2613.3166666667","58","50","28","22","108","71.05","394","14.72","41.62","694","537","403","163","19","34","42","21","21","0","0","47","54","87","63","176","48","7","15","31.82"
"795","Craig Smith","NSH","R","205","3195.9666666667","51","57","29","28","108","63.91","549","9.29","51.18","943","749","530","232","30","58","86","42","42","0","0","43","119","112","170","171","51","94","155","37.75"
"363","Brandon Dubinsky","CBJ","C","152","2809.6","31","75","43","32","106","71.62","339","9.14","34.92","602","467","361","174","17","36","217","67","51","9","7","60","45","65","450","142","67","1278","1127","53.14"
"229","Alexander Semin","CAR","R","166","3123.2666666667","41","64","40","24","105","61.40","453","9.05","44.43","1016","696","458","138","35","60","120","56","55","0","1","51","125","143","66","196","68","9","31","22.50"
"364","Alex Goligoski","DAL","D","209","4950.2166666667","13","92","47","45","105","40.86","343","3.79","20.46","782","516","223","46","14","33","70","35","35","0","0","38","209","53","250","324","377","0","1","0.00"
"643","Drew Doughty","L.A","D","208","5650.5","23","82","48","34","105","38.18","510","4.51","30.26","1151","766","304","49","10","62","156","78","78","0","0","45","198","37","460","400","281","0","1","0.00"
"650","Mikkel Boedker","ARI, PHX","L","175","3101.7333333333","40","65","29","36","105","70.00","328","12.20","31.79","571","438","327","133","19","33","38","18","18","0","0","49","45","84","248","174","42","4","16","20.00"
"133","Marian Gaborik","CBJ, L.A, NYR","R","157","2735.2","50","54","33","21","104","62.28","428","11.68","46.69","699","558","446","209","24","43","40","19","19","0","0","21","76","48","75","173","34","2","4","33.33"
"149","Antoine Vermette","ARI, CHI, PHX","C","212","3914.1833333333","50","54","30","24","104","60.12","360","13.89","42.77","592","483","380","198","21","34","120","58","58","0","0","42","65","96","233","280","156","2359","1840","56.18"
"779","Tyson Barrie","COL","D","176","3586.5333333333","27","77","34","43","104","50.49","298","9.06","18.43","662","438","171","40","9","44","56","28","28","0","0","25","89","79","161","274","171","0","0","-"
"1052","Alex Galchenyuk","MTL","C","193","2841.3833333333","42","62","42","20","104","68.42","352","11.93","39.37","636","490","364","191","14","43","85","40","39","1","0","47","59","63","163","237","94","146","181","44.65"
"77","David Legwand","DET, NSH, OTT","C","211","3405.3","35","68","39","29","103","62.42","315","11.11","31.41","509","415","270","148","13","35","113","51","49","1","1","24","99","98","112","167","83","1398","1447","49.14"
"128","Joel Ward","WSH","R","203","3290.5166666667","51","52","25","27","103","65.19","323","15.79","37.85","550","443","374","203","16","43","74","36","36","0","0","43","53","103","144","272","133","188","203","48.08"
"287","Ryan Kesler","ANA, VAN","C","175","3582.45","49","54","29","25","103","61.31","480","10.21","53.72","876","687","528","229","23","46","161","61","53","5","3","60","67","103","332","243","150","1851","1522","54.88"
"686","Adam Henrique","N.J","C","194","3490.3333333333","52","50","30","20","102","64.97","342","15.20","40.36","587","462","390","204","20","34","68","30","29","0","1","45","64","107","159","183","115","1010","1107","47.71"
"776","Tomas Tatar","DET","L","173","2582.6333333333","52","50","30","20","102","68.92","401","12.97","42.06","748","569","425","167","18","35","62","31","31","0","0","48","61","73","180","193","43","33","32","50.77"
"93","Brian Gionta","BUF, MTL","R","198","3561.1833333333","45","56","36","20","101","66.89","449","10.02","43.55","787","619","393","199","32","46","46","23","23","0","0","48","56","92","144","253","106","106","165","39.11"
"537","Mathieu Perreault","ANA, WPG, WSH","C","170","2419.75","42","59","42","17","101","72.66","296","14.19","31.66","511","390","328","163","9","34","94","46","46","0","0","47","47","71","179","181","36","831","762","52.17"
"569","Nick Bonino","ANA, VAN","C","179","2947.6666666667","42","59","35","24","101","67.33","345","12.17","34.58","576","459","351","152","15","40","52","25","25","0","0","26","67","107","70","193","207","1311","1423","47.95"
"1112","Nathan MacKinnon","COL","C","146","2513.2833333333","38","63","37","26","101","68.71","433","8.78","37.57","711","577","401","166","19","55","60","27","25","2","0","60","66","96","100","209","86","395","485","44.89"
"774","Reilly Smith","BOS, DAL","R","200","2857.2833333333","36","64","40","24","100","62.50","323","11.15","33.67","602","452","350","160","18","37","42","20","20","0","0","29","88","83","155","302","59","5","9","35.71"
"211","Dennis Wideman","CGY","D","172","4166.2666666667","25","74","26","48","99","44.20","369","6.78","21.13","857","555","199","29","16","34","64","32","32","0","0","46","168","80","196","309","359","0","1","0.00"
"499","Jiri Tlusty","CAR, WPG","L","188","3060.7","53","46","24","22","99","66.44","371","14.29","44.22","662","520","417","211","16","38","60","30","30","0","0","38","61","78","221","365","116","11","37","22.92"
"799","Cody Eakin","DAL","C","207","3469","42","57","24","33","99","63.87","370","11.35","39.92","702","521","441","179","20","48","93","45","44","1","0","48","99","152","224","272","146","1545","1596","49.19"
"1007","Mika Zibanejad","OTT","C","191","2871.4","43","56","36","20","99","66.89","393","10.94","37.92","715","579","373","149","22","45","44","22","22","0","0","50","52","77","349","208","73","957","1044","47.83"
"205","PA Parenteau","COL, MTL","R","159","2690.6333333333","40","58","35","23","98","69.01","312","12.82","33.06","533","406","307","140","14","34","98","41","39","0","2","30","63","79","117","189","49","13","40","24.53"
"249","James Wisniewski","ANA, CBJ","D","174","3843.6833333333","20","78","38","40","98","49.49","375","5.33","20.86","796","528","184","17","7","42","120","53","50","2","1","45","86","41","269","271","202","0","0","-"
"443","Cody Franson","NSH, TOR","D","202","4010.75","16","82","36","46","98","44.34","312","5.13","13.09","659","445","119","14","9","37","66","29","28","0","1","19","177","117","583","221","302","0","0","-"
"501","Chris Stewart","BUF, MIN, STL","R","192","2907.95","47","51","36","15","98","65.77","362","12.98","37.35","589","493","329","157","24","20","246","76","53","18","5","55","57","46","231","162","38","30","73","29.13"
"560","Alex Killorn","T.B","L","191","3216.7333333333","39","59","29","30","98","59.76","386","10.10","37.61","663","522","433","180","15","41","111","49","47","1","1","54","99","72","177","261","74","120","160","42.86"
"651","Josh Bailey","NYI","R","185","3016.8333333333","34","64","40","24","98","67.12","314","10.83","32.47","584","418","370","176","29","31","44","18","17","0","1","23","107","118","134","186","87","178","191","48.24"
"706","Cam Atkinson","CBJ","R","192","3118.15","52","46","29","17","98","67.12","519","10.02","56.21","833","683","541","262","31","37","44","21","21","0","0","23","48","88","134","145","93","4","5","44.44"
"179","Derek Roy","DAL, EDM, NSH, STL, VAN","C","189","2930.85","28","69","44","25","97","68.31","312","8.97","35.36","561","430","337","165","17","31","60","29","29","0","0","35","78","95","60","111","103","921","1101","45.55"
"755","Evander Kane","WPG","L","148","2974.5","46","50","38","12","96","64.86","567","8.11","52.82","1073","816","513","198","43","72","202","79","70","6","3","62","76","71","439","348","72","88","117","42.93"
"869","Justin Faulk","CAR","D","196","4692.8333333333","25","71","27","44","96","43.05","466","5.36","23.23","938","641","208","29","19","63","82","38","36","2","0","25","123","135","314","286","263","0","0","-"
"1117","Sean Monahan","CGY","C","156","2787.6833333333","53","43","28","15","96","65.75","331","16.01","34.4","594","450","360","156","27","31","20","10","10","0","0","18","83","107","81","83","65","1378","1488","48.08"
"171","Ales Hemsky","DAL, EDM, OTT","R","189","2830.3","33","62","28","34","95","65.52","360","9.17","30.93","620","456","342","132","16","31","56","28","28","0","0","36","96","90","70","262","77","13","15","46.43"
"198","Marek Zidlicky","DET, N.J","D","213","4521.7","23","72","33","39","95","46.57","359","6.41","22.63","780","513","199","38","13","35","154","75","75","0","0","32","133","49","271","254","215","0","1","0.00"
"347","Drew Stafford","BUF, WPG","R","192","3341.6666666667","40","55","32","23","95","71.97","453","8.83","39.37","725","583","364","178","30","44","107","41","36","3","2","47","66","66","205","206","49","229","226","50.33"
"510","Jordan Staal","CAR","C","176","3371","31","64","42","22","95","65.97","371","8.36","48.17","661","535","448","241","10","53","80","40","40","0","0","37","85","121","384","299","72","1760","1516","53.72"
